,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
0,0.9789819376026273,0.9834289356277884,0.5374220374220374,0.5587467362924282,0.0,0
1,0.9793103448275862,0.9837476099426385,0.4878724878724879,0.6044386422976501,0.011857707509881422,0
2,0.9789819376026273,0.9831102613129381,0.5190575190575191,0.6449086161879896,0.019762845849802372,0
3,0.9793103448275862,0.9834289356277884,0.49653499653499655,0.5156657963446476,0.02766798418972332,0
4,0.9793103448275862,0.9837476099426385,0.4878724878724879,0.5221932114882507,0.03557312252964427,0
5,0.9789819376026273,0.9834289356277884,0.49376299376299376,0.5469973890339426,0.043478260869565216,0
6,0.9789819376026273,0.9834289356277884,0.5398475398475399,0.5535248041775457,0.05533596837944664,0
7,0.9789819376026273,0.9834289356277884,0.5291060291060291,0.524804177545692,0.06324110671936758,0
8,0.9796387520525452,0.9837476099426385,0.5776160776160776,0.37336814621409925,0.07114624505928854,0
9,0.9802955665024631,0.9847036328871892,0.6032571032571032,0.3655352480417755,0.08300395256916997,0
10,0.979967159277504,0.984384958572339,0.6174636174636174,0.31201044386422977,0.09486166007905138,0
11,0.980623973727422,0.9850223072020395,0.49306999306999305,0.5783289817232377,0.11462450592885376,0
12,0.980623973727422,0.9850223072020395,0.46396396396396394,0.6671018276762403,0.13438735177865613,0
13,0.980623973727422,0.9853409815168896,0.6036036036036037,0.391644908616188,0.14624505928853754,0
14,0.980623973727422,0.9853409815168896,0.7051282051282052,0.2558746736292429,0.15810276679841898,0
15,0.980623973727422,0.9853409815168896,0.5343035343035343,0.6318537859007833,0.16600790513833993,0
16,0.980623973727422,0.9853409815168896,0.45426195426195426,0.608355091383812,0.17391304347826086,0
17,0.9809523809523809,0.9853409815168896,0.4885654885654886,0.5953002610966058,0.1857707509881423,0
18,0.98128078817734,0.9853409815168896,0.45252945252945254,0.7114882506527416,0.1976284584980237,0
19,0.9816091954022987,0.98565965583174,0.5654885654885655,0.42428198433420367,0.21739130434782608,0
20,0.9816091954022987,0.98565965583174,0.4764379764379764,0.5574412532637076,0.22924901185770752,0
21,0.98128078817734,0.98565965583174,0.5024255024255024,0.5848563968668408,0.2490118577075099,0
22,0.9816091954022987,0.98565965583174,0.5478170478170478,0.4007832898172324,0.25691699604743085,0
23,0.9819376026272578,0.9859783301465901,0.6091476091476091,0.33550913838120106,0.26877470355731226,0
24,0.9819376026272578,0.9859783301465901,0.5408870408870409,0.4869451697127937,0.2766798418972332,0
25,0.9819376026272578,0.9862970044614404,0.6448371448371448,0.304177545691906,0.2885375494071146,0
26,0.9822660098522168,0.9862970044614404,0.5239085239085239,0.5091383812010444,0.2964426877470356,0
27,0.9822660098522168,0.9859783301465901,0.6275121275121275,0.3211488250652742,0.30434782608695654,0
28,0.9822660098522168,0.9859783301465901,0.49861399861399863,0.5770234986945171,0.3241106719367589,0
29,0.9819376026272578,0.9859783301465901,0.5866250866250866,0.39295039164490864,0.33201581027667987,0
30,0.9822660098522168,0.9862970044614404,0.46396396396396394,0.6292428198433421,0.33992094861660077,0
31,0.9819376026272578,0.9859783301465901,0.623007623007623,0.3328981723237598,0.35177865612648224,0
32,0.9819376026272578,0.9859783301465901,0.4916839916839917,0.6305483028720626,0.35968379446640314,0
33,0.9816091954022987,0.98565965583174,0.5769230769230769,0.42428198433420367,0.3675889328063241,0
34,0.98128078817734,0.9850223072020395,0.5401940401940402,0.45300261096605754,0.37549407114624506,0
35,0.98128078817734,0.9853409815168896,0.5031185031185031,0.6344647519582246,0.38735177865612647,0
36,0.9816091954022987,0.9853409815168896,0.5478170478170478,0.47911227154047004,0.39920948616600793,0
37,0.98128078817734,0.9850223072020395,0.49861399861399863,0.5117493472584858,0.41106719367588934,0
38,0.9816091954022987,0.9853409815168896,0.47782397782397784,0.6618798955613577,0.4189723320158103,0
39,0.98128078817734,0.9850223072020395,0.4677754677754678,0.685378590078329,0.43873517786561267,0
40,0.98128078817734,0.9850223072020395,0.47193347193347196,0.5926892950391646,0.44664031620553357,0
41,0.98128078817734,0.9850223072020395,0.47401247401247404,0.6631853785900783,0.45454545454545453,0
42,0.98128078817734,0.9850223072020395,0.47401247401247404,0.6409921671018277,0.4624505928853755,0
43,0.98128078817734,0.9853409815168896,0.4753984753984754,0.6331592689295039,0.4743083003952569,0
44,0.98128078817734,0.9850223072020395,0.51004851004851,0.6201044386422977,0.49407114624505927,0
45,0.98128078817734,0.9850223072020395,0.5159390159390159,0.6409921671018277,0.5059288537549407,0
46,0.9809523809523809,0.9847036328871892,0.6386001386001386,0.3368146214099217,0.5138339920948617,0
47,0.98128078817734,0.9850223072020395,0.49133749133749133,0.6044386422976501,0.525691699604743,0
48,0.98128078817734,0.9853409815168896,0.49376299376299376,0.7036553524804178,0.5335968379446641,0
49,0.9816091954022987,0.9853409815168896,0.48925848925848925,0.5757180156657964,0.5533596837944664,0
50,0.9816091954022987,0.9850223072020395,0.9913374913374914,0.06005221932114883,0.5652173913043478,1
51,0.9816091954022987,0.9850223072020395,0.4792099792099792,0.7167101827676241,0.5731225296442688,0
52,0.98128078817734,0.9847036328871892,0.5187110187110187,0.5718015665796344,0.5810276679841897,0
