,PC1,PC2,Tool Wear,Target
0,-0.009174,-0.030897,0.0,0
1,-0.008727,0.031993,0.011857707509881422,0
2,-0.009342,0.054507,0.019762845849802372,0
3,-0.008895,-0.051462,0.02766798418972332,0
4,-0.008727,-0.041778,0.03557312252964427,0
5,-0.009174,-0.022134,0.043478260869565216,0
6,-0.009174,-0.036653,0.05533596837944664,0
7,-0.009174,-0.057665,0.06324110671936758,0
8,-0.008448,-0.214944,0.07114624505928854,0
9,-0.007386,-0.233306,0.08300395256916997,0
10,-0.007833,-0.287597,0.09486166007905138,0
11,-0.006939,0.006276,0.11462450592885376,0
12,-0.006939,0.09877,0.13438735177865613,0
13,-0.006772,-0.21004,0.14624505928853754,0
14,-0.006772,-0.376705,0.15810276679841898,0
15,-0.006772,0.036056,0.16600790513833993,0
16,-0.006772,0.050366,0.17391304347826086,0
17,-0.006492,0.02349,0.1857707509881423,0
18,-0.006213,0.143638,0.1976284584980237,0
19,-0.005766,-0.163915,0.21739130434782608,0
20,-0.005766,-0.005106,0.22924901185770752,0
21,-0.006045,0.007995,0.2490118577075099,0
22,-0.005766,-0.17718,0.25691699604743085,0
23,-0.005319,-0.262843,0.26877470355731226,0
24,-0.005319,-0.096832,0.2766798418972332,0
25,-0.005151,-0.306725,0.2885375494071146,0
26,-0.004872,-0.069419,0.2964426877470356,0
27,-0.00504,-0.283843,0.30434782608695654,0
28,-0.00504,0.002654,0.3241106719367589,0
29,-0.005319,-0.201363,0.33201581027667987,0
30,-0.004872,0.064812,0.33992094861660077,0
31,-0.005319,-0.271312,0.35177865612648224,0
32,-0.005319,0.053728,0.35968379446640314,0
33,-0.005766,-0.16897,0.3675889328063241,0
34,-0.006381,-0.126971,0.37549407114624506,0
35,-0.006213,0.052185,0.38735177865612647,0
36,-0.005934,-0.106922,0.39920948616600793,0
37,-0.006381,-0.055894,0.41106719367588934,0
38,-0.005934,0.087959,0.4189723320158103,0
39,-0.006381,0.113479,0.43873517786561267,0
40,-0.006381,0.028501,0.44664031620553357,0
41,-0.006381,0.090815,0.45454545454545453,0
42,-0.006381,0.070908,0.4624505928853755,0
43,-0.006213,0.06327,0.4743083003952569,0
44,-0.006381,0.036241,0.49407114624505927,0
45,-0.006381,0.052372,0.5059288537549407,0
46,-0.006828,-0.274693,0.5138339920948617,0
47,-0.006381,0.030462,0.525691699604743,0
48,-0.006213,0.118383,0.5335968379446641,0
49,-0.005934,0.005619,0.5533596837944664,0
50,-0.006102,-0.678885,0.5652173913043478,1
51,-0.006102,0.136527,0.5731225296442688,0
52,-0.006549,-0.010915,0.5810276679841897,0
53,-0.006828,-0.123206,0.6007905138339921,0
54,-0.006828,-0.201056,0.6086956521739131,0
55,-0.006381,-0.049513,0.616600790513834,0
56,-0.006381,-0.024245,0.6245059288537549,0
57,-0.006381,-0.05435,0.6324110671936759,0
58,-0.006549,-0.203487,0.6403162055335968,0
59,-0.006381,0.131438,0.6521739130434783,0
60,-0.006381,0.108062,0.6600790513833992,0
61,-0.006549,-0.091042,0.6679841897233202,0
62,-0.006549,-0.306506,0.6798418972332015,0
63,-0.006269,-0.268773,0.6877470355731226,0
64,-0.005822,-0.075788,0.6996047430830039,0
65,-0.005822,0.020086,0.7075098814229249,0
66,-0.006437,-0.215612,0.7154150197628458,0
67,-0.006716,-0.002653,0.7272727272727273,0
68,-0.006716,-0.149001,0.7470355731225297,0
69,-0.006269,0.258855,0.7549407114624506,1
70,-0.006269,-0.324572,0.7628458498023716,0
71,-0.006102,0.015885,0.7747035573122529,0
72,-0.006102,0.015719,0.782608695652174,0
73,-0.005822,-0.128513,0.7905138339920948,0
74,-0.006269,-0.161508,0.7984189723320159,0
75,-0.006716,0.04112,0.8063241106719368,0
76,-0.006716,0.04261,0.8142292490118577,0
77,-0.006716,-0.033755,0.8221343873517787,1
78,-0.006716,0.094416,0.0,0
79,-0.006716,-0.065449,0.007905138339920948,0
80,-0.006884,0.06848,0.015810276679841896,0
81,-0.006437,0.039611,0.03557312252964427,0
82,-0.006437,-0.039304,0.043478260869565216,0
83,-0.00599,-0.049951,0.05138339920948617,0
84,-0.006437,0.045071,0.05928853754940711,0
85,-0.00599,-0.257009,0.06719367588932806,0
86,-0.00599,-0.000399,0.07905138339920949,0
87,-0.00599,-0.158631,0.09881422924901186,0
88,-0.00599,0.017428,0.1067193675889328,0
89,-0.006437,-0.059735,0.11857707509881422,0
90,-0.006437,-0.260906,0.13043478260869565,0
91,-0.006437,-0.28324,0.1383399209486166,0
92,-0.006437,-0.2417,0.14624505928853754,0
93,-0.005711,-0.013083,0.15810276679841898,0
94,-0.006158,-0.169409,0.16600790513833993,0
95,-0.00599,0.109812,0.17391304347826086,0
96,-0.00599,-0.122396,0.1857707509881423,0
97,-0.006437,-0.212437,0.1976284584980237,0
98,-0.006605,-0.145795,0.20948616600790515,0
99,-0.006884,-0.007872,0.21739130434782608,0
100,-0.006716,-0.285439,0.22529644268774704,0
101,-0.006884,-0.357084,0.233201581027668,0
102,-0.006884,-0.057271,0.24110671936758893,0
103,-0.006884,-0.040978,0.2490118577075099,0
104,-0.007052,-0.008399,0.2608695652173913,0
105,-0.007052,-0.174028,0.26877470355731226,0
106,-0.007052,0.052087,0.2766798418972332,0
107,-0.006884,0.024214,0.2845849802371542,0
108,-0.006605,-0.159888,0.2964426877470356,0
109,-0.006773,-0.135988,0.31620553359683795,0
110,-0.00722,-0.317777,0.3241106719367589,0
111,-0.007499,-0.014734,0.33201581027667987,0
112,-0.007052,-0.06142,0.35177865612648224,0
113,-0.00722,-0.031478,0.36363636363636365,0
114,-0.00722,-0.207568,0.37549407114624506,0
115,-0.00722,0.021444,0.383399209486166,0
116,-0.006773,-0.134763,0.391304347826087,0
117,-0.00722,-0.153005,0.39920948616600793,0
118,-0.00722,-0.226927,0.40711462450592883,0
119,-0.007666,-0.042619,0.4189723320158103,0
120,-0.006773,0.009428,0.4268774703557312,0
121,-0.006773,-0.050704,0.43478260869565216,0
122,-0.006326,0.098529,0.4426877470355731,0
123,-0.006773,-0.023105,0.4505928853754941,0
124,-0.006773,-0.214768,0.45849802371541504,0
125,-0.00694,-0.156398,0.466403162055336,0
126,-0.006661,0.210373,0.4743083003952569,0
127,-0.00694,0.033569,0.48221343873517786,0
